round 9, accuracy: 19.600000381469727
round 19, accuracy: 22.399999618530273
round 29, accuracy: 28.299999237060547
round 39, accuracy: 33.400001525878906
round 49, accuracy: 36.70000076293945
round 59, accuracy: 37.900001525878906
round 69, accuracy: 39.5
round 79, accuracy: 43.400001525878906
round 89, accuracy: 45.70000076293945
round 99, accuracy: 45.900001525878906
round 109, accuracy: 16.600000381469727
round 119, accuracy: 20.25
round 129, accuracy: 21.799999237060547
round 139, accuracy: 21.75
round 149, accuracy: 22.700000762939453
round 159, accuracy: 23.5
round 169, accuracy: 24.700000762939453
round 179, accuracy: 24.299999237060547
round 189, accuracy: 24.649999618530273
round 199, accuracy: 23.950000762939453
total_accuracy_1: [tensor(0.), tensor(47.9000)]
round 209, accuracy: 13.766666412353516
round 219, accuracy: 15.366666793823242
round 229, accuracy: 16.799999237060547
round 239, accuracy: 17.566667556762695
round 249, accuracy: 18.03333282470703
round 259, accuracy: 18.399999618530273
round 269, accuracy: 18.266666412353516
round 279, accuracy: 19.133333206176758
round 289, accuracy: 19.200000762939453
round 299, accuracy: 19.5
total_accuracy_2: [tensor(0.), tensor(0.), tensor(58.5000)]
round 309, accuracy: 9.725000381469727
round 319, accuracy: 11.024999618530273
round 329, accuracy: 11.800000190734863
round 339, accuracy: 12.699999809265137
round 349, accuracy: 12.875
round 359, accuracy: 13.149999618530273
round 369, accuracy: 13.725000381469727
round 379, accuracy: 13.274999618530273
round 389, accuracy: 13.800000190734863
round 399, accuracy: 13.375
total_accuracy_3: [tensor(0.), tensor(0.), tensor(0.), tensor(53.5000)]
round 409, accuracy: 9.460000038146973
round 419, accuracy: 10.420000076293945
round 429, accuracy: 10.979999542236328
round 439, accuracy: 10.760000228881836
round 449, accuracy: 11.140000343322754
round 459, accuracy: 11.420000076293945
round 469, accuracy: 11.779999732971191
round 479, accuracy: 11.5600004196167
round 489, accuracy: 11.859999656677246
round 499, accuracy: 11.539999961853027
total_accuracy_4: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(57.7000)]
round 509, accuracy: 8.800000190734863
round 519, accuracy: 8.783333778381348
round 529, accuracy: 9.716666221618652
round 539, accuracy: 9.833333015441895
round 549, accuracy: 10.133333206176758
round 559, accuracy: 10.483333587646484
round 569, accuracy: 10.050000190734863
round 579, accuracy: 10.300000190734863
round 589, accuracy: 10.433333396911621
round 599, accuracy: 10.333333015441895
total_accuracy_5: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(62.)]
round 609, accuracy: 5.328571319580078
round 619, accuracy: 6.5
round 629, accuracy: 6.77142858505249
round 639, accuracy: 6.985714435577393
round 649, accuracy: 7.114285945892334
round 659, accuracy: 7.27142858505249
round 669, accuracy: 7.157142639160156
round 679, accuracy: 7.314285755157471
round 689, accuracy: 7.5714287757873535
round 699, accuracy: 7.528571605682373
total_accuracy_6: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(52.7000)]
round 709, accuracy: 6.087500095367432
round 719, accuracy: 6.612500190734863
round 729, accuracy: 7.224999904632568
round 739, accuracy: 7.574999809265137
round 749, accuracy: 7.349999904632568
round 759, accuracy: 7.587500095367432
round 769, accuracy: 7.724999904632568
round 779, accuracy: 7.887499809265137
round 789, accuracy: 7.962500095367432
round 799, accuracy: 7.837500095367432
total_accuracy_7: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(62.7000)]
round 809, accuracy: 5.900000095367432
round 819, accuracy: 6.55555534362793
round 829, accuracy: 6.711111068725586
round 839, accuracy: 7.02222204208374
round 849, accuracy: 7.122222423553467
round 859, accuracy: 7.144444465637207
round 869, accuracy: 7.188889026641846
round 879, accuracy: 7.211111068725586
round 889, accuracy: 7.3222222328186035
round 899, accuracy: 7.3222222328186035
total_accuracy_8: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(65.9000)]
round 909, accuracy: 5.21999979019165
round 919, accuracy: 5.760000228881836
round 929, accuracy: 6.199999809265137
round 939, accuracy: 6.139999866485596
round 949, accuracy: 6.260000228881836
round 959, accuracy: 6.25
round 969, accuracy: 6.349999904632568
round 979, accuracy: 6.300000190734863
round 989, accuracy: 6.46999979019165
round 999, accuracy: 6.510000228881836
total_accuracy_9: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(65.1000)]
forgetting: tensor(46.1359)
