round 9, accuracy: 17.700000762939453
round 19, accuracy: 21.399999618530273
round 29, accuracy: 25.600000381469727
round 39, accuracy: 33.79999923706055
round 49, accuracy: 36.29999923706055
round 59, accuracy: 39.400001525878906
round 69, accuracy: 42.900001525878906
round 79, accuracy: 44.5
round 89, accuracy: 43.79999923706055
round 99, accuracy: 48.29999923706055
round 109, accuracy: 17.399999618530273
round 119, accuracy: 19.149999618530273
round 129, accuracy: 21.950000762939453
round 139, accuracy: 22.5
round 149, accuracy: 22.5
round 159, accuracy: 23.700000762939453
round 169, accuracy: 24.399999618530273
round 179, accuracy: 23.600000381469727
round 189, accuracy: 25.549999237060547
round 199, accuracy: 25.600000381469727
total_accuracy_1: [tensor(0.), tensor(51.2000)]
round 209, accuracy: 14.466666221618652
round 219, accuracy: 16.0
round 229, accuracy: 16.633333206176758
round 239, accuracy: 18.233333587646484
round 249, accuracy: 18.600000381469727
round 259, accuracy: 19.266666412353516
round 269, accuracy: 18.899999618530273
round 279, accuracy: 19.733333587646484
round 289, accuracy: 19.266666412353516
round 299, accuracy: 20.33333396911621
total_accuracy_2: [tensor(0.), tensor(0.), tensor(61.)]
round 309, accuracy: 10.675000190734863
round 319, accuracy: 11.850000381469727
round 329, accuracy: 12.425000190734863
round 339, accuracy: 13.0
round 349, accuracy: 12.850000381469727
round 359, accuracy: 13.300000190734863
round 369, accuracy: 13.475000381469727
round 379, accuracy: 13.699999809265137
round 389, accuracy: 13.649999618530273
round 399, accuracy: 14.0
total_accuracy_3: [tensor(0.), tensor(0.), tensor(0.), tensor(56.)]
round 409, accuracy: 9.359999656677246
round 419, accuracy: 10.479999542236328
round 429, accuracy: 11.039999961853027
round 439, accuracy: 11.800000190734863
round 449, accuracy: 11.779999732971191
round 459, accuracy: 11.979999542236328
round 469, accuracy: 11.760000228881836
round 479, accuracy: 12.279999732971191
round 489, accuracy: 12.020000457763672
round 499, accuracy: 12.180000305175781
total_accuracy_4: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(60.9000)]
round 509, accuracy: 8.583333015441895
round 519, accuracy: 9.300000190734863
round 529, accuracy: 9.899999618530273
round 539, accuracy: 9.633333206176758
round 549, accuracy: 10.416666984558105
round 559, accuracy: 10.133333206176758
round 569, accuracy: 10.366666793823242
round 579, accuracy: 10.149999618530273
round 589, accuracy: 10.5
round 599, accuracy: 10.566666603088379
total_accuracy_5: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(63.4000)]
round 609, accuracy: 5.699999809265137
round 619, accuracy: 6.657142639160156
round 629, accuracy: 6.971428394317627
round 639, accuracy: 6.857142925262451
round 649, accuracy: 7.342857360839844
round 659, accuracy: 7.485714435577393
round 669, accuracy: 7.285714149475098
round 679, accuracy: 7.599999904632568
round 689, accuracy: 7.699999809265137
round 699, accuracy: 7.757143020629883
total_accuracy_6: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(54.3000)]
round 709, accuracy: 6.650000095367432
round 719, accuracy: 6.887499809265137
round 729, accuracy: 7.137499809265137
round 739, accuracy: 7.5
round 749, accuracy: 7.5
round 759, accuracy: 7.599999904632568
round 769, accuracy: 7.875
round 779, accuracy: 7.837500095367432
round 789, accuracy: 7.962500095367432
round 799, accuracy: 8.125
total_accuracy_7: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(65.)]
round 809, accuracy: 5.855555534362793
round 819, accuracy: 6.400000095367432
round 829, accuracy: 6.722222328186035
round 839, accuracy: 6.900000095367432
round 849, accuracy: 7.011111259460449
round 859, accuracy: 7.277777671813965
round 869, accuracy: 7.288888931274414
round 879, accuracy: 7.333333492279053
round 889, accuracy: 7.277777671813965
round 899, accuracy: 7.255555629730225
total_accuracy_8: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(65.3000)]
round 909, accuracy: 5.679999828338623
round 919, accuracy: 5.880000114440918
round 929, accuracy: 6.289999961853027
round 939, accuracy: 6.28000020980835
round 949, accuracy: 6.579999923706055
round 959, accuracy: 6.440000057220459
round 969, accuracy: 6.619999885559082
round 979, accuracy: 6.650000095367432
round 989, accuracy: 6.590000152587891
round 999, accuracy: 6.5
total_accuracy_9: [tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(0.), tensor(65.)]
forgetting: tensor(47.7583)
