round 9, accuracy: 16.399999618530273
round 19, accuracy: 19.899999618530273
round 29, accuracy: 26.600000381469727
round 39, accuracy: 31.100000381469727
round 49, accuracy: 36.29999923706055
round 59, accuracy: 38.70000076293945
round 69, accuracy: 41.900001525878906
round 79, accuracy: 45.5
round 89, accuracy: 45.5
round 99, accuracy: 46.0
round 109, accuracy: 17.450000762939453
round 119, accuracy: 20.700000762939453
round 129, accuracy: 23.799999237060547
round 139, accuracy: 24.649999618530273
round 149, accuracy: 25.5
round 159, accuracy: 27.200000762939453
round 169, accuracy: 27.950000762939453
round 179, accuracy: 27.850000381469727
round 189, accuracy: 28.549999237060547
round 199, accuracy: 29.299999237060547
total_accuracy_1: [tensor(18.6000), tensor(40.)]
round 209, accuracy: 16.66666603088379
round 219, accuracy: 18.299999237060547
round 229, accuracy: 19.96666717529297
round 239, accuracy: 21.66666603088379
round 249, accuracy: 21.83333396911621
round 259, accuracy: 21.566667556762695
round 269, accuracy: 22.5
round 279, accuracy: 22.33333396911621
round 289, accuracy: 22.733333587646484
round 299, accuracy: 23.03333282470703
total_accuracy_2: [tensor(18.2000), tensor(6.8000), tensor(44.1000)]
round 309, accuracy: 16.274999618530273
round 319, accuracy: 16.875
round 329, accuracy: 17.799999237060547
round 339, accuracy: 18.649999618530273
round 349, accuracy: 19.325000762939453
round 359, accuracy: 19.125
round 369, accuracy: 19.799999237060547
round 379, accuracy: 20.049999237060547
round 389, accuracy: 19.875
round 399, accuracy: 20.149999618530273
total_accuracy_3: [tensor(17.), tensor(3.9000), tensor(24.6000), tensor(35.1000)]
round 409, accuracy: 15.619999885559082
round 419, accuracy: 17.0
round 429, accuracy: 17.18000030517578
round 439, accuracy: 17.559999465942383
round 449, accuracy: 18.219999313354492
round 459, accuracy: 18.15999984741211
round 469, accuracy: 17.940000534057617
round 479, accuracy: 18.540000915527344
round 489, accuracy: 18.459999084472656
round 499, accuracy: 18.8799991607666
total_accuracy_4: [tensor(13.5000), tensor(4.), tensor(21.7000), tensor(14.7000), tensor(40.5000)]
round 509, accuracy: 15.366666793823242
round 519, accuracy: 15.949999809265137
round 529, accuracy: 16.75
round 539, accuracy: 16.5
round 549, accuracy: 17.183332443237305
round 559, accuracy: 16.933332443237305
round 569, accuracy: 16.75
round 579, accuracy: 17.116666793823242
round 589, accuracy: 17.133333206176758
round 599, accuracy: 17.16666603088379
total_accuracy_5: [tensor(12.5000), tensor(3.1000), tensor(19.4000), tensor(8.3000), tensor(16.5000), tensor(43.2000)]
round 609, accuracy: 13.342857360839844
round 619, accuracy: 13.800000190734863
round 629, accuracy: 14.514286041259766
round 639, accuracy: 14.242856979370117
round 649, accuracy: 14.685714721679688
round 659, accuracy: 14.585714340209961
round 669, accuracy: 15.0
round 679, accuracy: 14.557143211364746
round 689, accuracy: 14.828571319580078
round 699, accuracy: 14.514286041259766
total_accuracy_6: [tensor(10.8000), tensor(4.1000), tensor(17.7000), tensor(5.6000), tensor(7.7000), tensor(22.5000), tensor(33.2000)]
round 709, accuracy: 12.425000190734863
round 719, accuracy: 12.824999809265137
round 729, accuracy: 13.037500381469727
round 739, accuracy: 13.137499809265137
round 749, accuracy: 13.0625
round 759, accuracy: 13.25
round 769, accuracy: 13.0625
round 779, accuracy: 13.5
round 789, accuracy: 13.199999809265137
round 799, accuracy: 13.175000190734863
total_accuracy_7: [tensor(9.7000), tensor(3.7000), tensor(15.9000), tensor(4.), tensor(4.8000), tensor(15.4000), tensor(12.8000), tensor(39.1000)]
round 809, accuracy: 11.04444408416748
round 819, accuracy: 11.933333396911621
round 829, accuracy: 12.05555534362793
round 839, accuracy: 12.566666603088379
round 849, accuracy: 12.733333587646484
round 859, accuracy: 12.88888931274414
round 869, accuracy: 12.977777481079102
round 879, accuracy: 12.866666793823242
round 889, accuracy: 12.977777481079102
round 899, accuracy: 13.0
total_accuracy_8: [tensor(8.9000), tensor(3.6000), tensor(15.1000), tensor(3.9000), tensor(3.7000), tensor(11.4000), tensor(6.2000), tensor(22.8000), tensor(41.4000)]
round 909, accuracy: 11.0600004196167
round 919, accuracy: 11.630000114440918
round 929, accuracy: 12.069999694824219
round 939, accuracy: 12.069999694824219
round 949, accuracy: 12.220000267028809
round 959, accuracy: 12.079999923706055
round 969, accuracy: 12.020000457763672
round 979, accuracy: 12.140000343322754
round 989, accuracy: 11.989999771118164
round 999, accuracy: 11.819999694824219
total_accuracy_9: [tensor(6.), tensor(2.4000), tensor(13.1000), tensor(3.9000), tensor(3.), tensor(9.2000), tensor(4.6000), tensor(11.2000), tensor(20.9000), tensor(43.9000)]
forgetting: tensor(24.2760)
