round 9, accuracy: 15.0
round 19, accuracy: 21.600000381469727
round 29, accuracy: 27.799999237060547
round 39, accuracy: 28.799999237060547
round 49, accuracy: 36.29999923706055
round 59, accuracy: 37.400001525878906
round 69, accuracy: 41.900001525878906
round 79, accuracy: 44.29999923706055
round 89, accuracy: 45.400001525878906
round 99, accuracy: 47.20000076293945
round 109, accuracy: 34.599998474121094
round 119, accuracy: 40.79999923706055
round 129, accuracy: 43.099998474121094
round 139, accuracy: 45.04999923706055
round 149, accuracy: 46.5
round 159, accuracy: 47.54999923706055
round 169, accuracy: 49.150001525878906
round 179, accuracy: 47.900001525878906
round 189, accuracy: 48.45000076293945
round 199, accuracy: 47.099998474121094
total_accuracy_1: [tensor(48.3000), tensor(45.9000)]
round 209, accuracy: 40.36666488647461
round 219, accuracy: 43.233333587646484
round 229, accuracy: 45.733333587646484
round 239, accuracy: 46.43333435058594
round 249, accuracy: 48.13333511352539
round 259, accuracy: 48.400001525878906
round 269, accuracy: 48.233333587646484
round 279, accuracy: 48.43333435058594
round 289, accuracy: 49.63333511352539
round 299, accuracy: 48.79999923706055
total_accuracy_2: [tensor(50.), tensor(45.8000), tensor(50.6000)]
round 309, accuracy: 42.849998474121094
round 319, accuracy: 46.025001525878906
round 329, accuracy: 47.54999923706055
round 339, accuracy: 48.650001525878906
round 349, accuracy: 48.849998474121094
round 359, accuracy: 49.224998474121094
round 369, accuracy: 49.900001525878906
round 379, accuracy: 49.45000076293945
round 389, accuracy: 49.54999923706055
round 399, accuracy: 49.79999923706055
total_accuracy_3: [tensor(49.9000), tensor(48.), tensor(53.1000), tensor(48.2000)]
round 409, accuracy: 43.63999938964844
round 419, accuracy: 46.02000045776367
round 429, accuracy: 47.58000183105469
round 439, accuracy: 47.939998626708984
round 449, accuracy: 47.7599983215332
round 459, accuracy: 48.36000061035156
round 469, accuracy: 48.58000183105469
round 479, accuracy: 48.540000915527344
round 489, accuracy: 48.68000030517578
round 499, accuracy: 49.02000045776367
total_accuracy_4: [tensor(52.2000), tensor(48.), tensor(52.1000), tensor(45.5000), tensor(47.3000)]
round 509, accuracy: 45.25
round 519, accuracy: 46.349998474121094
round 529, accuracy: 47.56666564941406
round 539, accuracy: 47.88333511352539
round 549, accuracy: 48.25
round 559, accuracy: 48.43333435058594
round 569, accuracy: 48.43333435058594
round 579, accuracy: 48.54999923706055
round 589, accuracy: 48.18333435058594
round 599, accuracy: 48.03333282470703
total_accuracy_5: [tensor(51.6000), tensor(49.1000), tensor(53.6000), tensor(41.), tensor(44.3000), tensor(48.6000)]
round 609, accuracy: 43.91428756713867
round 619, accuracy: 44.97142791748047
round 629, accuracy: 45.70000076293945
round 639, accuracy: 45.88571548461914
round 649, accuracy: 46.55714416503906
round 659, accuracy: 46.25714111328125
round 669, accuracy: 45.985713958740234
round 679, accuracy: 45.9571418762207
round 689, accuracy: 45.85714340209961
round 699, accuracy: 45.78571319580078
total_accuracy_6: [tensor(52.6000), tensor(50.9000), tensor(53.1000), tensor(37.7000), tensor(43.9000), tensor(46.1000), tensor(36.2000)]
round 709, accuracy: 43.42499923706055
round 719, accuracy: 44.54999923706055
round 729, accuracy: 44.6875
round 739, accuracy: 44.86249923706055
round 749, accuracy: 44.474998474121094
round 759, accuracy: 44.900001525878906
round 769, accuracy: 44.86249923706055
round 779, accuracy: 44.32500076293945
round 789, accuracy: 44.875
round 799, accuracy: 44.162498474121094
total_accuracy_7: [tensor(50.), tensor(51.), tensor(53.2000), tensor(38.), tensor(40.9000), tensor(44.1000), tensor(33.6000), tensor(42.5000)]
round 809, accuracy: 40.911109924316406
round 819, accuracy: 42.83333206176758
round 829, accuracy: 43.79999923706055
round 839, accuracy: 44.32222366333008
round 849, accuracy: 44.63333511352539
round 859, accuracy: 44.233333587646484
round 869, accuracy: 44.72222137451172
round 879, accuracy: 44.63333511352539
round 889, accuracy: 44.46666717529297
round 899, accuracy: 44.46666717529297
total_accuracy_8: [tensor(51.5000), tensor(52.8000), tensor(54.6000), tensor(38.2000), tensor(40.8000), tensor(40.5000), tensor(34.4000), tensor(43.3000), tensor(44.1000)]
round 909, accuracy: 44.09000015258789
round 919, accuracy: 44.9900016784668
round 929, accuracy: 45.470001220703125
round 939, accuracy: 45.060001373291016
round 949, accuracy: 45.13999938964844
round 959, accuracy: 45.470001220703125
round 969, accuracy: 45.220001220703125
round 979, accuracy: 44.81999969482422
round 989, accuracy: 45.11000061035156
round 999, accuracy: 45.0
total_accuracy_9: [tensor(50.), tensor(53.), tensor(51.6000), tensor(37.8000), tensor(40.6000), tensor(44.2000), tensor(34.5000), tensor(44.), tensor(44.3000), tensor(50.)]
forgetting: tensor(-3.6128)
